vineyard_field_id,smoke_days,smoke_density_weighted_days,max_density_weight,area_ha,ha_smoke_days
VYD_00081,7,19,3,0.04945489495465841,0.3461842646826089
VYD_00082,8,20,3,0.34872667858596557,2.7898134286877245
VYD_00083,8,21,3,0.12098338706456298,0.9678670965165038
VYD_00084,8,18,3,0.2925007562700153,2.3400060501601225
VYD_00085,8,21,3,0.3691714283879826,2.953371427103861
VYD_00086,8,20,3,0.10735487044946412,0.858838963595713
VYD_00087,8,17,3,0.10973549682015102,0.8778839745612081
VYD_00088,8,17,3,0.291768166952542,2.334145335620336
VYD_00089,8,18,3,0.334267866064757,2.674142928518056
VYD_00090,7,19,3,0.04071878981485793,0.2850315287040055
VYD_00091,8,18,3,0.5639312997720254,4.511450398176203
VYD_00092,7,16,3,0.21768440739440667,1.5237908517608467
VYD_00093,9,21,3,0.347653246852671,3.128879221674039
VYD_00094,7,18,3,0.4265630439068811,2.9859413073481678
VYD_00095,7,19,3,0.11147545738180954,0.7803282016726668
VYD_00096,7,16,3,0.39729225770713805,2.7810458039499664
VYD_00097,8,20,3,0.5970375760285451,4.776300608228361
VYD_00098,8,16,3,0.09775996059938985,0.7820796847951188
VYD_00099,8,21,3,0.5321702873294015,4.257362298635212
VYD_00100,7,15,3,0.17339315644805234,1.2137520951363663
VYD_00101,8,20,3,0.582938466654789,4.663507733238312
VYD_00102,8,20,3,0.515246014838334,4.121968118706672
VYD_00103,8,18,3,0.5382482654919434,4.305986123935547
VYD_00104,7,19,3,6.358813790685534,44.511696534798745
VYD_00105,8,20,3,0.1277956521007162,1.0223652168057296
VYD_00106,8,19,3,0.13979298103778942,1.1183438483023154
VYD_00107,9,19,3,0.09242525242226461,0.8318272718003815
VYD_00108,7,16,3,0.37286886005499975,2.6100820203849984
VYD_00109,8,20,3,0.47329850375608173,3.786388030048654
VYD_00110,7,17,3,0.32736423453144353,2.291549641720105
VYD_00111,8,20,3,0.3717344851097612,2.9738758808780896
VYD_00112,8,21,3,0.05828535605484037,0.466282848438723
VYD_00113,8,20,3,0.49487362795077733,3.9589890236062186
VYD_00114,7,18,3,0.34489628562478614,2.4142739993735027
VYD_00115,8,21,3,0.35760010854615515,2.860800868369241
VYD_00116,8,21,3,0.34276127641800846,2.7420902113440677
VYD_00117,7,17,3,0.06849952084097224,0.47949664588680574
VYD_00118,8,18,3,0.4246617058044461,3.397293646435569
VYD_00119,8,20,3,0.2515829711270279,2.012663769016223
VYD_00120,8,19,3,0.33933065065937834,2.7146452052750267
VYD_00121,8,20,3,0.24596998409125775,1.967759872730062
VYD_00122,8,21,3,0.10290080107923302,0.8232064086338642
VYD_00123,8,21,3,0.43387843742410487,3.471027499392839
VYD_00124,7,17,3,0.4252747738414655,2.9769234168902585
VYD_00125,8,18,3,0.21879007150662738,1.750320572053019
VYD_00126,8,20,3,0.42555126489433276,3.404410119154662
VYD_00127,8,18,3,0.5870935864366298,4.696748691493038
VYD_00128,8,21,3,0.40179104692925943,3.2143283754340755
VYD_00129,8,20,3,0.2923577445883104,2.338861956706483
VYD_00130,9,19,3,0.37664260089918694,3.3897834080926823
VYD_00131,8,19,3,0.3487598320650318,2.7900786565202544
VYD_00132,7,18,3,0.49007665510584636,3.4305365857409247
VYD_00133,8,20,3,0.17390557069311108,1.3912445655448886
VYD_00134,7,19,3,0.07586239039986467,0.5310367327990527
VYD_00135,8,21,3,0.29537118296324816,2.3629694637059853
VYD_00136,8,21,3,0.5351077497319727,4.280861997855782
VYD_00137,7,19,3,0.2923431908320142,2.0464023358240997
VYD_00138,7,17,3,0.26073271179044916,1.825128982533144
VYD_00139,8,20,3,0.35520609840937656,2.8416487872750125
VYD_00140,7,18,3,0.31944343019811483,2.2361040113868036
VYD_00141,8,21,3,0.4869816381428855,3.895853105143084
VYD_00142,9,21,3,0.15682571805197182,1.4114314624677464
VYD_00143,8,18,3,0.4775781689114655,3.820625351291724
VYD_00144,8,19,3,0.3977787479309886,3.182229983447909
VYD_00145,8,21,3,0.14783865842818478,1.1827092674254782
VYD_00146,7,17,3,0.3303579950593123,2.312505965415186
VYD_00147,8,20,3,0.11339705957256276,0.907176476580502
VYD_00148,8,20,3,0.2871444303918361,2.297155443134689
VYD_00149,8,20,3,0.2841178183887883,2.2729425471103064
VYD_00150,8,18,3,0.11901427257706652,0.9521141806165322
VYD_00151,8,20,3,0.23924248129852868,1.9139398503882294
VYD_00152,7,18,3,0.2079535352549274,1.455674746784492
VYD_00153,9,19,3,0.16339777355847313,1.470579962026258
VYD_00154,7,19,3,0.43581040051711323,3.0506728036197925
VYD_00155,7,18,3,0.2681204739258374,1.8768433174808616
VYD_00156,8,20,3,0.3718755084204041,2.975004067363233
VYD_00157,8,20,3,0.3223291333952452,2.5786330671619617
VYD_00158,8,17,3,0.09841631102543212,0.787330488203457
VYD_00159,8,20,3,0.33583059057768794,2.6866447246215035
VYD_00160,7,19,3,0.3970849711458287,2.779594798020801
VYD_00161,8,20,3,0.4181470421514353,3.345176337211482
VYD_00162,7,17,3,0.16996993828807505,1.1897895680165254
VYD_00163,7,16,3,0.4747287190534037,3.323101033373826
VYD_00164,8,20,3,0.2836382752005115,2.269106201604092
VYD_00165,8,17,3,0.16383199262377096,1.3106559409901677
VYD_00166,8,21,3,0.06899243220413384,0.5519394576330707
VYD_00167,8,21,3,0.31411527505621256,2.5129222004497005
VYD_00168,8,21,3,0.09035657168287717,0.7228525734630173
VYD_00169,7,16,3,0.2901558743271424,2.0310911202899966
VYD_00170,8,21,3,0.10457600488438075,0.836608039075046
VYD_00171,8,20,3,0.5595097281298269,4.476077825038615
VYD_00172,8,19,3,0.08971780710364638,0.717742456829171
VYD_00173,8,19,3,0.05252934310475842,0.4202347448380674
VYD_00174,8,21,3,7.118835000542568,56.95068000434054
VYD_00175,8,18,3,0.06973735836237452,0.5578988668989961
VYD_00176,7,18,3,0.2978715098417705,2.085100568892394
VYD_00177,8,18,3,0.34430739625464823,2.754459170037186
VYD_00178,8,18,3,0.4766949736969489,3.8135597895755913
VYD_00179,8,20,3,0.26305600882806524,2.104448070624522
VYD_00180,8,20,3,0.143268649681473,1.146149197451784
VYD_00181,8,20,3,0.09310195435561976,0.744815634844958
VYD_00182,7,17,3,0.4193949994534395,2.9357649961740764
VYD_00183,8,20,3,0.12819421268243986,1.0255537014595189
VYD_00184,8,20,3,0.45444618855450597,3.6355695084360478
VYD_00185,8,20,3,0.5732090637718741,4.585672510174993
VYD_00186,8,20,3,0.42359561148737357,3.3887648918989886
VYD_00187,8,20,3,0.5185579962389312,4.148463969911449
VYD_00188,8,20,3,0.39546128737337083,3.1636902989869666
VYD_00189,7,18,3,0.5405325858669341,3.7837281010685384
VYD_00190,8,18,3,0.21936465412702905,1.7549172330162324
VYD_00191,8,17,3,0.5073026667642403,4.058421334113922
VYD_00192,8,19,3,0.48120749679901526,3.849659974392122
VYD_00193,8,18,3,0.37365623854735047,2.9892499083788038
VYD_00194,8,20,3,0.3391929706032378,2.713543764825902
VYD_00195,7,18,3,0.13181339690454752,0.9226937783318326
VYD_00196,8,21,3,0.21552031202164454,1.7241624961731563
VYD_00197,8,18,3,0.5909185204237746,4.727348163390197
VYD_00198,7,18,3,0.15220315656413502,1.065422095948945
VYD_00199,7,15,3,0.4098308351597216,2.868815846118051
VYD_00200,7,17,3,0.1549598806076042,1.0847191642532295
VYD_00201,9,19,3,0.5325485448138421,4.792936903324579
VYD_00202,8,17,3,0.4212910611637473,3.3703284893099785
VYD_00203,8,20,3,0.0810144645317414,0.6481157162539312
VYD_00204,7,18,3,0.27993144066557396,1.9595200846590177
VYD_00205,8,21,3,0.18419905025231126,1.47359240201849
