vineyard_field_id,NDVI_2015,NDVI_2016,NDVI_2017,NDVI_2018,NDVI_2019,NDVI_2020,NDVI_2021,area_ha,in_perimeter,recov_2020_ratio,recov_2021_ratio,drop_2019_2020,drop_2019_2021
VYD_00027,0.7281447967387134,0.6457966251402907,0.661291381957368,0.4802768895591514,0.5522196876583138,0.5100628116609639,0.4757152191106823,0.05990978017160636,0,0.9236592303035844,0.8614600850758356,-0.04215687599734985,-0.07650446854763143
VYD_00028,0.524089247313751,0.5967644250337123,0.5831317256746724,0.4906220717846698,0.6045955134070423,0.542231920310376,0.4545966691327356,0.07771175948594067,0,0.8968507180193377,0.7519021545015661,-0.06236359309666628,-0.1499988442743067
VYD_00029,0.42569689598308896,0.43677545921853944,0.44717173629148455,0.31230078743597184,0.365578567273248,0.33937699733769583,0.28650958261641957,0.26707225685855773,0,0.9283284845416879,0.7837154807882128,-0.02620156993555217,-0.07906898465682843
VYD_00030,0.3258054244160209,0.4139644443624391,0.43455506991921816,0.39837512418287097,0.3439842055669052,0.33333351141052764,0.3136143227925268,0.22987430574510873,0,0.9690372581531045,0.9117114033642123,-0.010650694156377538,-0.030369882774378354
VYD_00031,0.37099197021932423,0.36628062569406705,0.355323896907133,0.36561416116912215,0.41729787625665743,0.3843011352724916,0.3189262948206716,0.09364593985896348,0,0.9209276086421506,0.7642653197317429,-0.03299674098416583,-0.09837158143598584
VYD_00032,0.3818164002549935,0.4082946707930246,0.43995017865357533,0.288463275448671,0.3680451299152236,0.31730506038987466,0.2691009495966837,0.5529576472046428,0,0.8621362832948326,0.7311629137944824,-0.05074006952534893,-0.09894418031853991
VYD_00033,0.6065852896651387,0.5464959505676787,0.5118564288735566,0.5015815750883702,0.5023844397402205,0.5043249382226287,0.40867698596805974,2.8582197596283185,0,1.0038625768015657,0.8134746095627161,0.0019404984824081817,-0.09370745377216078
VYD_00034,0.5032133305027335,0.5343140986035853,0.5213094076105194,0.532232110877572,0.5870083783284512,0.5541357871526468,0.4286256853596577,0.2254855200781062,0,0.9439997921845485,0.7301866569267722,-0.03287259117580443,-0.15838269296879348
VYD_00035,0.35774451671273666,0.3788756745369041,0.3754644226105377,0.30008995491470897,0.3827919754196837,0.3301343047857798,0.22743666508997948,0.6810150338723354,0,0.8624378931241407,0.594152123593039,-0.052657670633903864,-0.1553553103297042
VYD_00036,0.6006137931000127,0.5985813865448608,0.5830162828879385,0.5729484744756996,0.5612659169768466,0.5442023711623477,0.5310000616600408,0.41306120991905454,0,0.9695981079585084,0.9460757291662619,-0.01706354581449887,-0.030265855316805812
VYD_00037,0.35152257307426044,0.3967095065057442,0.4049861392998043,0.38609641508054776,0.4605397250681742,0.43841484797552394,0.35746430146093944,1.4956503684488072,0,0.9519588085710193,0.7761855970362244,-0.022124877092650264,-0.10307542360723476
VYD_00038,0.39817774569609143,0.4782888364718153,0.47360821824928906,0.49729569683858443,0.5119672102768092,0.4573268108780729,0.4247714923095787,0.6938460849673619,0,0.8932736349087796,0.8296849559562892,-0.05464039939873633,-0.08719571796723052
VYD_00039,0.5054925007543877,0.4897454714419759,0.48391393247419384,0.4917516936458129,0.4812567266444016,0.4699879258645872,0.45418777623965295,0.29108085401892997,0,0.9765846373548128,0.9437536165084093,-0.011268800779814403,-0.02706895040474866
VYD_00040,0.2813796040571132,0.36881738450572393,0.3784186050790181,0.2329287173553101,0.26356374222379164,0.25940125295759947,0.25403546414810335,0.2578040154396805,0,0.98420689723453,0.9638482972077478,-0.004162489266192171,-0.00952827807568829
VYD_00041,0.4457063980094963,0.45771434229106167,0.4395120550207428,0.4131375177876925,0.46835661966596837,0.43798130890973247,0.3479808270716033,0.4241790982042438,0,0.935144909923768,0.7429826172197225,-0.030375310756235896,-0.12037579259436504
VYD_00042,0.36933530720198154,0.4222202844105139,0.43295890483827,0.3269798042488609,0.4373407569713536,0.3934975469575458,0.21215542272571583,1.6009068381968194,0,0.8997504593044833,0.4851032503691676,-0.04384321001380781,-0.22518533424563777
VYD_00043,0.3896783084172809,0.38048927286058576,0.3869289488846458,0.3858179589716444,0.4077824847375657,0.37167413537067073,0.36964561850542615,5.221259139084544,0,0.9114519364652629,0.906477429366092,-0.03610834936689494,-0.03813686623213952
VYD_00044,0.45496659391912914,0.5007665390011125,0.5390003090127935,0.4837059945308516,0.510001122804698,0.46068369277885973,0.38720378551283485,0.049746123987645885,0,0.9032993697060465,0.7592214373636043,-0.04931743002583827,-0.12279733729186315
VYD_00045,0.5395486557948023,0.5912686204209819,0.5501963100133752,0.5169606998195531,0.5763965428833074,0.5368957232592076,0.4233734672495597,0.5588611038409188,0,0.9314693675529265,0.7345177074305813,-0.03950081962409979,-0.15302307563374773
VYD_00046,0.5097327775081344,0.4948048661711585,0.4817314209876123,0.3350555450154246,0.43667619248575307,0.3938063817665863,0.29017361859867585,0.16790412004381888,0,0.9018270025779676,0.6645052411648089,-0.04286981071916679,-0.14650257388707721
VYD_00047,0.46463525144993767,0.42390330457816183,0.4255862799154469,0.40188548278336345,0.4326862493554513,0.39942527085650026,0.35253625151132195,0.20441651418480744,0,0.9231291067176318,0.8147618558169474,-0.033260978498951044,-0.08014999784412935
VYD_00048,0.5803350614533456,0.545689276043538,0.5381646462493643,0.4394848565429811,0.4858264339750258,0.4449027522636029,0.42900682124505746,2.34892747437903,0,0.9157648105382289,0.883045448422658,-0.04092368171142291,-0.05681961272996833
VYD_00049,0.40132150666804184,0.4452890307258363,0.427624451194866,0.45949154121931207,0.49520890653644084,0.4734286817663887,0.4371799292222961,0.10029403631069157,0,0.9560181077469183,0.8828191970132213,-0.021780224770052148,-0.05802897731414475
VYD_00050,0.39799977852836177,0.44936629921286086,0.496189645452965,0.48550449452103966,0.5140323311478431,0.48685089052605207,0.44351580770939775,2.0676743901336057,0,0.947121145938244,0.8628169491187826,-0.02718144062179101,-0.07051652343844533
VYD_00051,0.2794974911575388,0.28021154910104273,0.28626099067990035,0.31789844170557374,0.3187827976637725,0.2870891300348929,0.2768864397230067,1.5102882422032151,0,0.9005791157454248,0.8685739687090805,-0.031693667628879596,-0.041896357940765794
VYD_00052,0.5186306886495122,0.42699767961617435,0.445156501317697,0.43601772902953995,0.4622026779899193,0.41451759800435056,0.37957545535699005,0.607020433238956,0,0.8968308011694195,0.8212316229056307,-0.04768507998556876,-0.08262722263292926
