seg_id,signed_dist_m,vineyard,x,y,dnbr,elev_m,slope_deg,northness,eastness
7,-300.0,0,509740.51206711464,4283014.727121324,0.00195959210395813,69.05863189697266,11.62472152709961,0.8690024018287659,0.4419870674610138
7,-150.0,0,509887.2387450898,4282983.561724321,-0.009227067232131958,63.32601547241211,1.8906404972076416,0.6237184405326843,0.07309772819280624
7,-100.0,0,509936.14763774816,4282973.173258653,0.002236202359199524,63.96066665649414,2.3860156536102295,0.06475688517093658,-0.349306583404541
7,-60.0,0,509975.27475187485,4282964.862486119,0.12920446693897247,64.0465316772461,1.2930370569229126,0.791139543056488,-0.5063900947570801
7,-30.0,0,510004.62008746987,4282958.629406719,0.11187562346458435,64.27161407470703,0.6866878867149353,0.9646142721176147,-0.03869747743010521
7,0.0,1,510033.9654230649,4282952.396327318,0.10787156224250793,64.41968536376953,1.289444923400879,0.7320306301116943,0.3644151985645294
7,30.0,1,510063.3107586599,4282946.163247917,0.33798468112945557,64.2214126586914,0.9295808672904968,0.6825677752494812,0.21982502937316895
7,60.0,1,510092.6560942549,4282939.930168516,0.40299683809280396,64.12124633789062,0.7565311193466187,0.7099980711936951,0.6332767605781555
7,100.0,1,510131.7832083816,4282931.6193959825,0.3259265422821045,64.0366439819336,0.8842039108276367,0.8733127117156982,0.4628400504589081
7,150.0,1,510180.69210104,4282921.230930314,0.37968310713768005,63.280174255371094,1.0961443185806274,0.34717318415641785,0.9235154390335083
7,300.0,1,510327.41877901513,4282890.065533311,0.08962661772966385,62.48637390136719,1.340938687324524,0.9123361110687256,0.3374815881252289
8,-300.0,0,510165.4641971757,4283183.241615518,0.30560407042503357,60.549217224121094,0.6661837697029114,0.6542643308639526,0.6502700448036194
8,-150.0,0,510062.25144257117,4283074.397105841,0.2213091254234314,62.71650695800781,1.070726752281189,0.7268307209014893,0.18982459604740143
8,-100.0,0,510027.84719103633,4283038.115602614,0.13340404629707336,63.13534164428711,0.9537646770477295,0.7690916061401367,-0.12809830904006958
8,-60.0,0,510000.32378980843,4283009.090400034,0.1333165317773819,63.775638580322266,1.083739161491394,0.8876866698265076,-0.08428692072629929
8,-30.0,0,509979.68123888754,4282987.321498099,0.14187711477279663,63.78836441040039,0.8915916681289673,0.5136992931365967,-0.8114163875579834
8,0.0,1,509959.03868796665,4282965.552596163,0.0783892422914505,64.01541137695312,2.238368511199951,0.6919580101966858,-0.08549211174249649
8,30.0,1,509938.39613704575,4282943.783694227,0.11806478351354599,64.1102066040039,1.396066665649414,0.7022988796234131,-0.3861437439918518
8,60.0,1,509917.75358612486,4282922.014792292,0.13268359005451202,64.39338684082031,2.4238104820251465,0.908452033996582,0.08862190693616867
8,100.0,1,509890.23018489697,4282892.989589712,0.026321062818169594,69.96698760986328,2.393428325653076,-0.696971595287323,-0.306288480758667
8,150.0,1,509855.8259333621,4282856.708086485,0.07915892452001572,70.05921173095703,2.6852433681488037,-0.34162265062332153,0.2565271258354187
8,300.0,1,509752.6131787576,4282747.863576808,-0.02673250436782837,113.25431060791016,8.78496265411377,0.026654193177819252,0.8375329971313477
9,-300.0,0,510176.6614486152,4282876.835871678,0.3688417673110962,63.957427978515625,1.109365701675415,0.42944884300231934,0.8834773302078247
9,-150.0,0,510062.89414554887,4282974.595785513,0.321498304605484,64.0364990234375,0.7590734958648682,0.7242315411567688,0.32507801055908203
9,-100.0,0,510024.97171119344,4283007.1824234575,0.08320732414722443,63.763648986816406,1.0580171346664429,0.8923311233520508,-0.030921952798962593
9,-60.0,0,509994.63376370905,4283033.251733813,0.16532832384109497,63.37309646606445,1.1880258321762085,0.9775212407112122,0.12435873597860336
9,-30.0,0,509971.8803030958,4283052.80371658,0.1490924209356308,63.04572296142578,0.9475184082984924,0.9700616002082825,-0.0057545071467757225
9,0.0,1,509949.12684248254,4283072.355699347,0.14820365607738495,62.70945739746094,0.8950246572494507,0.8595189452171326,-0.2854005992412567
9,30.0,1,509926.3733818693,4283091.907682114,0.17974212765693665,62.36420822143555,0.8633257150650024,0.9702197313308716,-0.002744498895481229
9,60.0,1,509903.61992125603,4283111.459664881,0.1624038815498352,62.1661491394043,0.9409831762313843,0.9593677520751953,0.17172452807426453
9,100.0,1,509873.28197377163,4283137.528975237,0.311325341463089,61.45396041870117,0.9033753275871277,0.9474977850914001,-0.27565306425094604
9,150.0,1,509835.3595394162,4283170.115613182,0.3260866701602936,61.00672912597656,0.6760623455047607,0.9388035535812378,-0.33305227756500244
9,300.0,1,509721.5922363499,4283267.875527017,0.2835281789302826,60.65213394165039,0.4706052839756012,-0.10603989660739899,0.3763916790485382
10,-300.0,0,510089.9101320581,4282871.581294523,0.32576650381088257,65.11891174316406,0.6511840224266052,0.8272894024848938,0.48277124762535095
10,-150.0,0,510009.2802496648,4282998.067744647,0.09555131196975708,63.71263122558594,1.1902114152908325,0.9641392827033997,0.0210465919226408
10,-100.0,0,509982.4036222003,4283040.229894689,0.1953974962234497,63.021575927734375,0.8317179083824158,0.9866772294044495,0.05702534690499306
10,-60.0,0,509960.90232022875,4283073.959614723,0.17354249954223633,62.81966018676758,0.6479505896568298,0.7844550609588623,-0.23644396662712097
10,-30.0,0,509944.7763437501,4283099.256904747,0.19256700575351715,62.17091369628906,0.7704454064369202,0.930773138999939,-0.33582282066345215
