feature,x_val,partial_effect,ci_lo,ci_hi
y_norm,-2.0984679932721253,-0.08100802219905988,-0.09670552663870881,-0.06531051775941095
y_norm,-2.05597135290204,-0.08183281927752432,-0.0948736434197711,-0.06879199513527755
y_norm,-2.0134747125319548,-0.08242483514140544,-0.09461351422120234,-0.07023615606160855
y_norm,-1.9709780721618693,-0.08283012150313462,-0.09527044811045368,-0.07038979489581557
y_norm,-1.928481431791784,-0.0830946726069735,-0.09588877679383444,-0.07030056842011255
y_norm,-1.8859847914216985,-0.08324768496394853,-0.09592129166678752,-0.07057407826110955
y_norm,-1.8434881510516132,-0.0832783082844252,-0.09543441442578564,-0.07112220214306476
y_norm,-1.8009915106815277,-0.08316985180994013,-0.09468397196350284,-0.07165573165637742
y_norm,-1.7584948703114425,-0.08290562478203,-0.09387261771227982,-0.07193863185178016
y_norm,-1.715998229941357,-0.08246893644223145,-0.09301315491919977,-0.07192471796526313
y_norm,-1.6735015895712717,-0.08184417014582765,-0.0919310870483159,-0.0717572532433394
y_norm,-1.6310049492011862,-0.08107191622808496,-0.09057280342712383,-0.0715710290290461
y_norm,-1.5885083088311007,-0.08027545189175302,-0.08923628660450908,-0.07131461717899695
y_norm,-1.5460116684610155,-0.07958467306826915,-0.08827668619443838,-0.07089265994209992
y_norm,-1.5035150280909302,-0.07912947568907076,-0.08787674283539296,-0.07038220854274857
y_norm,-1.4610183877208447,-0.07903975568559514,-0.08797047171761314,-0.07010903965357713
y_norm,-1.4185217473507592,-0.07943418007198727,-0.0883784146384562,-0.07048994550551833
y_norm,-1.376025106980674,-0.08020560526224578,-0.0889499235109628,-0.07146128701352876
y_norm,-1.3335284666105887,-0.08103775871278493,-0.08959301698587924,-0.07248250043969062
y_norm,-1.2910318262405032,-0.0816064814525105,-0.0901644744675149,-0.0730484884375061
y_norm,-1.2485351858704177,-0.08158761451032824,-0.09033077077594996,-0.07284445824470652
y_norm,-1.2060385455003324,-0.08065699891514393,-0.08957528144219792,-0.07173871638808993
y_norm,-1.163541905130247,-0.07853575318752765,-0.08740905685263925,-0.06966244952241604
y_norm,-1.1210452647601616,-0.07540293260836094,-0.08408244494115477,-0.0667234202755671
y_norm,-1.0785486243900761,-0.07170349291304488,-0.08028018291679911,-0.06312680290929065
y_norm,-1.0360519840199909,-0.06788566511849568,-0.07658905804871255,-0.059182272188278824
y_norm,-0.9935553436499054,-0.06439768024162956,-0.07338661701868648,-0.055408743464572634
y_norm,-0.9510587032798201,-0.061687769299362726,-0.0708969492181948,-0.052478589380530655
y_norm,-0.9085620629097346,-0.06010545628023506,-0.06928960114225279,-0.05092131141821733
y_norm,-0.8660654225396494,-0.05943674309197062,-0.06848143607323559,-0.050392050110705654
y_norm,-0.8235687821695639,-0.05926796560296747,-0.06828949820606928,-0.05024643299986566
y_norm,-0.7810721417994784,-0.0591852257094084,-0.0683980728169537,-0.0499723786018631
y_norm,-0.7385755014293931,-0.05877462530747614,-0.06828804106066973,-0.04926120955428255
y_norm,-0.6960788610593076,-0.057622296223186716,-0.06731789095489733,-0.0479267014914761
y_norm,-0.6535822206892223,-0.0554888013512795,-0.0651128267874538,-0.04586477591510522
y_norm,-0.6110855803191368,-0.05271992161785033,-0.06217943216319543,-0.04326041107250523
y_norm,-0.5685889399490516,-0.049784030546368235,-0.05918912259078117,-0.0403789385019553
y_norm,-0.5260922995789661,-0.04714950166030218,-0.056669105466155376,-0.03762989785444898
y_norm,-0.4835956592088808,-0.045284708483121154,-0.05495528786620548,-0.03561412910003683
y_norm,-0.4410990188387953,-0.044655575785471656,-0.0542779318461343,-0.03503321972480901
y_norm,-0.39860237846871005,-0.04538348116352239,-0.05466712187311912,-0.03609984045392567
y_norm,-0.35610573809862456,-0.04689297898839056,-0.055763525295678136,-0.03802243268110298
y_norm,-0.3136090977285393,-0.04852456253820856,-0.05714645409966842,-0.039902670976748704
y_norm,-0.2711124573584538,-0.04961872509110886,-0.05823493913968575,-0.04100251104253197
y_norm,-0.22861581698836853,-0.04951595992522386,-0.058229204731568535,-0.04080271511887919
y_norm,-0.18611917661828303,-0.04757213426221772,-0.0562408461689249,-0.038903422355510545
y_norm,-0.14362253624819754,-0.04370123877814805,-0.05213221330708068,-0.03527026424921542
y_norm,-0.10112589587811227,-0.03852020746221533,-0.04673380000885442,-0.03030661491557624
y_norm,-0.058629255508027,-0.032690796296423755,-0.040894111024305214,-0.024487481568542295
y_norm,-0.016132615137941286,-0.0268747612627775,-0.03527077221043877,-0.018478750315116234
y_norm,0.026364025232143984,-0.021733858343280933,-0.03032298330104222,-0.013144733385519646
y_norm,0.06886066560222925,-0.017896483868608523,-0.026427630909540242,-0.009365336827676802
y_norm,0.11135730597231452,-0.015467854757632068,-0.023696241794657808,-0.0072394677206063275
y_norm,0.15385394634240024,-0.014137793550866395,-0.022050912914687422,-0.00622467418704537
y_norm,0.1963505867124855,-0.013584680428420362,-0.021357456589022737,-0.005811904267817988
y_norm,0.23884722708257078,-0.013486895570402765,-0.021300280510203228,-0.005673510630602303
y_norm,0.28134386745265605,-0.013522819156922451,-0.021377357374982694,-0.005668280938862208
y_norm,0.32384050782274176,-0.013394771322925126,-0.02108449682162139,-0.005705045824228862
y_norm,0.36633714819282703,-0.013003522115732318,-0.02038924530075398,-0.0056177989307106555
y_norm,0.4088337885629123,-0.012347965976523673,-0.019519769220130025,-0.005176162732917323
y_norm,0.4513304289329976,-0.01142769473250959,-0.018618775007307506,-0.004236614457711672
y_norm,0.4938270693030833,-0.010242300210900446,-0.017625498668291578,-0.002859101753509315
y_norm,0.5363237096731686,-0.00879137423890666,-0.016325433545508347,-0.001257314932304971
y_norm,0.5788203500432538,-0.007097781938900596,-0.014582846113702289,0.0003872822359010965
y_norm,0.6213169904133395,-0.00529548773508619,-0.012681051246143002,0.002090075775970623
y_norm,0.6638136307834248,-0.0035515704960531838,-0.011011839610875504,0.003908698618769137
