vineyard_field_id,NDMI_prefire,NDVI_prefire,ET_gs_mm,awc_0_100cm,awc_0_150cm,area_ha
VYD_02648,-0.05121270341288095,0.5070466493715456,445.6949494949495,13.0,19.5,1.9103057824417897
VYD_02649,-0.04462717564866574,0.40066087524169564,521.1303687796208,20.55,31.05,7.465504147785867
VYD_02650,0.01602746546145343,0.42897657139887435,507.8936078006501,18.6,27.6,1.2728318296098293
VYD_02651,0.04598642869338172,0.41931880629477825,500.3400089007566,10.68,10.68,0.6165819687815698
VYD_02652,-0.02756411942839681,0.4018495450500296,427.26918649270914,15.46,23.2,1.4327837106274905
VYD_02653,-0.015571570120710183,0.4051514501129673,518.9816987629129,15.93,18.43,8.639086816740774
VYD_02654,0.16498456406127704,0.6474249799773847,568.1028342484047,20.55,31.05,1.8547973936124054
VYD_02655,-0.037429020009337365,0.37363132190836185,421.6718446601942,13.93,20.43,4.258552523015751
VYD_02656,0.06576986454347664,0.5581785703879684,615.6894834906379,6.64,10.14,9.030897133648793
VYD_02657,0.06307504407340074,0.49247615137211165,538.5984105960265,18.0,26.16,1.0367518072086856
VYD_02658,0.004060728562452478,0.4026706313332423,428.71457515512225,9.74,9.74,2.177596389237859
VYD_02659,0.027151904618267098,0.47694689624248154,575.7269740328563,15.0,23.0,5.190647746516699
VYD_02660,0.13899062640377838,0.509370392667655,463.32284215546025,6.64,10.14,1.1542444303658457
VYD_02661,0.15825230410078814,0.6483806302300951,583.9928748000582,16.4,24.9,1.891531965155358
VYD_02662,0.07670444625306998,0.49743253845728047,527.4219819819821,14.34,15.6,1.525775350724486
VYD_02663,-0.0022601635449342725,0.38809107458794123,299.6483263084281,6.64,10.14,14.546219214239184
VYD_02664,0.04304908829327008,0.45683892838554685,490.8340399757722,6.64,10.14,0.9091964676726766
VYD_02665,0.10055998773538896,0.44781626274187053,427.41402781888127,5.39,9.39,0.9300959920255911
VYD_02666,0.031486970817157726,0.48014421022064935,520.0993087557603,4.95,4.95,1.198472996688397
VYD_02667,0.040784754703164026,0.5371242188666976,366.9670679886685,18.6,27.6,0.7796037992948982
VYD_02668,0.02776489994938397,0.4567923860118522,496.1006653167487,18.0,27.0,0.9567434376976286
VYD_02669,-0.005790159894483531,0.41760274662362246,398.39424403705897,16.08,17.43,1.3953125528163475
VYD_02670,0.018523062258737025,0.4773320583340027,455.7293074324325,10.56,12.56,1.3056822980338534
VYD_02671,0.018321529106103913,0.45093874254149435,454.81796233703517,13.93,20.43,1.1449117511869653
VYD_02672,0.018783809115320935,0.4467940502622852,417.1995803505307,6.64,10.14,2.228273474446629
VYD_02673,-0.141095611863395,0.18918120065366684,458.9344807353805,11.84,11.84,1.4082051526267783
VYD_02674,0.04218774525121958,0.5309671180946846,473.51352003862877,16.8,22.4,1.1399706105097533
VYD_02675,-0.01611193202668045,0.45697179352592576,470.6169557918299,20.55,31.05,0.9835909634137732
VYD_02676,0.06050885245164159,0.4826841977988171,427.14473095328265,15.0,23.0,7.988836607035366
VYD_02677,0.039031596318374516,0.4530717389463122,381.51565180102915,5.5,8.0,3.848072379080305
VYD_02678,0.017230911188709418,0.4898195776695738,471.7825263223282,15.93,18.43,8.858360615417707
VYD_02679,0.026031098822446086,0.422943496719924,433.6253093267344,15.98,15.98,3.2223528033335485
VYD_02680,0.12965942100211006,0.5957304788178145,657.3603331897173,17.74,26.26,1.9157696982396053
VYD_02681,-0.13764196804103546,0.2941504660353256,322.0658295281584,12.01,12.01,0.7241656560571957
VYD_02682,-0.004744127675368981,0.34943672981307766,459.6790515766316,12.6,17.43,1.125359711151706
VYD_02683,0.007246004329566312,0.44606532906100216,466.03325783105885,15.93,18.43,4.981675493450417
VYD_02684,-0.01540171871919997,0.42641834535920137,503.58401202856805,10.68,10.68,2.1900430824834554
VYD_02685,-0.011053758394994093,0.42627449274071627,446.0589937309116,17.74,26.26,1.7117360466296858
VYD_02686,-0.03734176356197574,0.41820682596370123,475.4377570468454,17.74,26.26,2.7377340217491257
VYD_02687,0.09740276879672917,0.5611434866258058,421.52075824322526,17.74,26.26,2.065949758132942
VYD_02688,-0.016210478116214077,0.45186579244647485,442.4194714253445,4.56,4.56,1.2195820114541878
VYD_02689,0.050416013789926176,0.4934555472379988,411.83681781156656,16.4,24.9,2.025602466502265
VYD_02690,-0.014863913618800576,0.3692398436418073,408.95062989445,13.93,20.43,0.7968192809324172
VYD_02691,0.009095306158132258,0.41975070392223196,394.50264783759934,11.84,11.84,0.6253584032243934
VYD_02692,0.014904356171680832,0.4456846613528586,492.2030669144981,13.48,19.98,0.59339378783592
VYD_02693,-0.04921627129617304,0.39261027920218505,431.59895833333337,8.4,8.4,0.632548245991899
VYD_02694,0.14235300511313537,0.5726695996348751,449.2287612719507,10.68,10.68,1.739315549895376
VYD_02695,-0.004545534128533041,0.45014980676901223,341.7878670788253,20.55,31.05,0.7116976131890708
VYD_02696,0.006279891553926898,0.4541889187829216,453.43169084901615,18.6,27.6,1.938491725997299
VYD_02697,0.049318594856018944,0.4575300531541872,517.9803819894564,15.93,18.43,3.184312651160914
VYD_02698,0.0592560447273111,0.44018297572062703,500.6520661157025,9.85,9.85,0.6700160894702322
VYD_02699,0.19472717256009422,0.5490530434839522,496.60252566548553,10.73,12.73,3.0322497377420756
VYD_02700,0.1604619116276956,0.6260292434592745,618.8742027913854,15.0,23.0,2.9794859425030693
VYD_02701,-0.017577885162403405,0.37054713389916505,377.6708416833667,15.93,18.43,1.10066988938443
VYD_02702,0.07029681557714469,0.5354328504857608,709.6310818546078,13.93,20.43,2.8850537992206826
VYD_02703,-0.009324427575744813,0.36659975903356856,435.43964091660763,15.46,23.2,1.159489735571331
VYD_02704,-0.010195285595223242,0.3496528084536917,467.5724404378623,8.49,8.49,0.8556151037285492
VYD_02705,0.010484048418195403,0.4614842819594388,545.0122425184608,15.05,22.66,1.4213487409351542
VYD_02706,0.045391358419826985,0.5077303137269167,530.3679985948888,7.1,7.1,15.695676198299969
VYD_02707,-0.013040128507613677,0.4359694233833165,456.5878594249202,18.6,27.6,4.469732872962908
VYD_02708,-0.0011088986489884002,0.4043696162450377,448.4447228311932,9.74,9.74,1.7686459401502344
VYD_02709,-0.02342177945687686,0.4036958380975239,449.74173553719004,12.6,17.43,0.6659107917593714
VYD_02710,0.14225290661875267,0.6030382397098771,569.6792452830189,5.39,9.39,1.5609637864891521
VYD_02711,0.008204064194281857,0.42036417208242893,430.1038150616934,11.84,11.84,1.94066436963106
VYD_02712,-0.02335401129046323,0.4325577075431656,431.6713336078589,13.93,20.43,4.631820474570742
VYD_02713,-0.010083748415766002,0.4186154896207731,554.0862199364695,13.93,20.43,1.8205954861682487
VYD_02714,0.005694338926343742,0.44424244822455466,407.5241044977108,18.6,27.6,1.0238163519573091
VYD_02715,0.017645863594403354,0.41751332953045533,399.933757151939,12.0,18.0,2.162259995182236
VYD_02716,0.19984707574132676,0.6143777945666052,815.6604878048781,12.01,12.01,0.850049898852323
VYD_02717,0.11733346227556467,0.5403898841599255,523.5565217391304,15.0,23.0,0.8862289626939075
VYD_02718,-0.005417658579278138,0.5278244708190786,570.34625826662,5.39,9.39,3.9552656585447563
VYD_02719,-0.027510391432940734,0.19650802100926218,289.13205245501683,15.98,15.98,1.8081491783032162
VYD_02720,0.1143132817052425,0.5599542515095876,557.8104262113006,16.14,23.99,3.963017186968519
VYD_02721,0.06770177312796011,0.5703695094059021,623.3129475517708,15.0,23.0,4.230526654875464
VYD_02722,0.056472297944075815,0.48709122409497296,405.0436028968014,17.74,26.26,7.29068782239348
VYD_02723,0.034882763047841006,0.45579220257198855,517.9734028683182,15.0,23.0,1.0589019507053736
VYD_02724,-0.055989843478104054,0.35532132770172004,296.4306626790492,20.58,28.78,3.4843340987970906
VYD_02725,0.010572750767248467,0.41688586350700024,430.6725628930817,9.74,9.74,0.6977832573417007
VYD_02726,0.04172209365167819,0.4626876384873427,475.1386586284854,11.13,11.13,1.0993460598710354
VYD_02727,-0.045926228099565126,0.3618018427419968,402.7366962305988,4.56,4.56,1.4882748174384257
VYD_02728,-0.005073033831676022,0.3797362485462779,442.96994590262454,15.93,18.43,1.3734561597906596
VYD_02729,0.023691273036318024,0.4643145709114599,527.053544494721,11.84,11.84,0.7294150404265484
VYD_02730,0.05014551176702763,0.442661817003841,438.9275626423691,12.0,18.0,0.6083548679216094
VYD_02731,-0.11546779508368285,0.3375875774274613,462.3074537171658,16.08,23.13,2.8390247613434876
VYD_02732,-0.017908704586819296,0.4777162235915048,469.54059417849413,15.93,18.43,4.575478849703936
VYD_02733,0.007779964794262522,0.37086949454291745,463.81011969532096,11.68,11.68,1.0116897882556661
VYD_02734,0.09091570808926427,0.5047194226963962,457.50216490096733,13.0,19.5,2.988749562732138
VYD_02735,-0.06538145671194814,0.2095462675915951,402.953204241586,7.61,11.11,1.1977588330529725
VYD_02736,0.005800350499335711,0.42892288094497594,516.5318976683939,10.24,10.24,1.701390632456127
VYD_02737,0.007432851454602405,0.45383459831748163,385.244191049914,6.64,10.14,2.5560675371833885
VYD_02738,0.06007939186030333,0.5551944455664207,537.9227544149411,8.4,8.4,2.1686096970022133
VYD_02739,-0.028396178573637375,0.28158820199590107,448.54561175961936,8.14,8.14,0.6503905564946917
VYD_02740,0.010387584462408414,0.469272950295737,548.5208405098173,16.9,18.86,0.7994900454496937
VYD_02741,-0.07012357986495343,0.3110096121094007,387.83808939347443,5.39,9.39,2.693054562987262
VYD_02742,0.07522632611950368,0.5142544445304736,507.18369489153247,13.48,19.98,0.7821202225950549
VYD_02743,-0.1190679559367897,0.34109919611382694,509.7466491841491,15.75,20.1,1.8905366367047463
VYD_02744,0.03313378411344231,0.5159859845108694,440.48258992805756,18.6,27.6,0.9539724299422678
VYD_02745,0.08688355627823917,0.5354633242782981,442.55429913689494,15.0,23.0,5.034960095234375
VYD_02746,-0.2686251636786135,0.22228710658312523,398.6962241003271,15.93,18.43,4.041606700545724
VYD_02747,-0.04726830214419605,0.41023501826033265,533.747020348837,20.58,28.78,7.59248109305486
VYD_02748,-0.10310598197826744,0.3592079283934755,416.9355957244727,15.0,23.0,18.264104674002404
VYD_02749,-0.06323536619965253,0.3658565344437618,517.0029197080291,9.6,9.6,1.8839928403710233
VYD_02750,0.05510520890169533,0.49353599071164944,412.45174379287016,10.68,10.68,2.8471224176504495
VYD_02751,0.07676754044304313,0.47952927854260335,519.6011461318052,15.93,18.43,0.9621139589362214
VYD_02752,0.044743068429632174,0.4862442270627088,674.0154506437771,15.86,16.2,0.6406688647202037
